date,open,high,low,close,volume
2025-11-24,298.239990234375,299.82000732421875,294.510009765625,298.0,10940200
2025-11-25,300.04998779296875,304.5,295.55999755859375,303.0,8877200
2025-11-26,305.0,308.5299987792969,303.20001220703125,307.6400146484375,7910900
2025-11-28,309.1000061035156,313.7200012207031,308.239990234375,313.0799865722656,4322400
2025-12-01,312.95001220703125,314.0400085449219,308.5400085449219,308.9200134277344,7727300
2025-12-02,308.739990234375,310.4800109863281,307.0899963378906,307.8800048828125,7249000
2025-12-03,307.20001220703125,312.3599853515625,306.79998779296875,312.1300048828125,8535300
2025-12-04,313.260009765625,318.489990234375,313.0,316.1000061035156,9627800
2025-12-05,315.6400146484375,318.4800109863281,314.67999267578125,315.0400085449219,6518900
2025-12-08,315.05999755859375,316.4700012207031,313.3500061035156,315.2099914550781,7417200
2025-12-09,314.95001220703125,318.79998779296875,300.0199890136719,300.510009765625,18049200
2025-12-10,300.5,311.19000244140625,298.4599914550781,310.1099853515625,18874100
2025-12-11,309.239990234375,318.0,309.239990234375,317.3800048828125,9721900
2025-12-12,319.67999267578125,320.2699890136719,316.6000061035156,318.5199890136719,8982900
2025-12-15,319.5899963378906,322.8800048828125,318.3900146484375,320.0199890136719,10864100
2025-12-16,319.0899963378906,319.5199890136719,314.3999938964844,315.54998779296875,8331300
2025-12-17,318.42999267578125,319.3699951171875,314.6600036621094,314.9800109863281,8718700
2025-12-18,316.0,317.70001220703125,312.2200012207031,313.0,11444900
2025-12-19,313.7900085449219,318.55999755859375,313.19000244140625,317.2099914550781,24494400
2025-12-22,317.510009765625,323.2300109863281,317.510009765625,323.0899963378906,8354600
2025-12-23,323.6099853515625,327.7799987792969,323.0899963378906,325.92999267578125,6668300
2025-12-24,326.239990234375,329.989990234375,325.5,329.1700134277344,4289300
2025-12-26,329.1099853515625,330.8599853515625,326.5400085449219,327.9100036621094,4158300
2025-12-29,327.0,327.7699890136719,323.5299987792969,323.75,8635300
2025-12-30,324.80999755859375,324.94000244140625,322.489990234375,323.4200134277344,7904300
2025-12-31,324.3399963378906,324.8800048828125,322.0400085449219,322.2200012207031,5048500
2026-01-02,322.5,325.7300109863281,320.739990234375,325.4800109863281,8054000
2026-01-05,325.5,337.25,325.19000244140625,334.0400085449219,10752600
2026-01-06,332.6199951171875,335.8699951171875,330.6499938964844,334.6099853515625,7660800
2026-01-07,331.1400146484375,332.1499938964844,324.6000061035156,326.989990234375,9815200
2026-01-08,326.3900146484375,331.3999938964844,325.6499938964844,329.7900085449219,11737100
2026-01-09,329.3399963378906,331.8999938964844,328.1700134277344,329.19000244140625,6738100
2026-01-12,321.8800048828125,326.0199890136719,321.2300109863281,324.489990234375,12805100
2026-01-13,324.29998779296875,326.8599853515625,310.57000732421875,310.8999938964844,19371200
2026-01-14,308.20001220703125,311.760009765625,306.1199951171875,307.8699951171875,25951500
