date,open,high,low,close,volume
2026-01-23,143.86000061035156,144.83999633789062,143.05999755859375,144.5800018310547,5870100
2026-01-26,144.8000030517578,145.9199981689453,144.13999938964844,145.8699951171875,6589600
2026-01-27,145.75,148.82000732421875,145.3300018310547,148.77999877929688,7114900
2026-01-28,148.41000366210938,150.0399932861328,147.75999450683594,148.5,5954100
2026-01-29,148.83999633789062,150.86000061035156,148.44000244140625,148.69000244140625,9062300
2026-01-30,149.00999450683594,153.88999938964844,148.58999633789062,153.6300048828125,12641300
2026-02-02,154.05999755859375,156.6199951171875,153.19000244140625,155.1999969482422,14660500
2026-02-03,156.60000610351562,163.44000244140625,155.5,162.85000610351562,19096400
2026-02-04,164.88999938964844,167.94000244140625,164.1699981689453,166.17999267578125,13322900
2026-02-05,166.50999450683594,168.00999450683594,165.25,167.52999877929688,11038800
2026-02-06,167.4499969482422,170.75,167.25999450683594,170.49000549316406,10960400
2026-02-09,169.5,169.92999267578125,164.94000244140625,166.47000122070312,10316200
2026-02-10,165.75,167.41000366210938,163.74000549316406,166.97000122070312,10352500
2026-02-11,167.64999389648438,170.27000427246094,166.02000427246094,169.14999389648438,6733400
2026-02-12,169.75999450683594,171.47999572753906,167.08999633789062,167.1999969482422,9516300
2026-02-13,167.1999969482422,167.8800048828125,165.0,165.94000244140625,9286100
2026-02-17,166.1199951171875,167.5399932861328,160.80999755859375,161.9199981689453,8749800
2026-02-18,161.7899932861328,164.52999877929688,160.6300048828125,164.38999938964844,7239800
2026-02-19,164.38999938964844,165.0500030517578,163.1300048828125,164.58999633789062,6155800
2026-02-20,164.64999389648438,164.97000122070312,163.02000427246094,164.94000244140625,4811800
2026-02-23,164.49000549316406,168.80999755859375,164.24000549316406,168.32000732421875,6801600
2026-02-24,168.22999572753906,169.7899932861328,167.77000427246094,169.5399932861328,6319800
2026-02-25,168.61000061035156,169.5,166.0,169.1699981689453,6832700
2026-02-26,169.6300048828125,170.05999755859375,167.16000366210938,167.5800018310547,7219300
2026-02-27,168.3800048828125,170.27999877929688,167.82000732421875,169.74000549316406,10585200
2026-03-02,169.0500030517578,169.5399932861328,167.13999938964844,167.27999877929688,7264000
2026-03-03,166.5399932861328,167.22000122070312,163.6699981689453,164.91000366210938,6718100
2026-03-04,165.0399932861328,165.92999267578125,163.3699951171875,163.9199981689453,6855400
2026-03-05,162.16000366210938,163.39999389648438,160.16000366210938,160.6999969482422,7133700
2026-03-06,158.25,159.52999877929688,156.08999633789062,159.42999267578125,5937900
2026-03-09,159.1699981689453,162.42999267578125,158.10000610351562,161.52999877929688,6416000
2026-03-10,160.6999969482422,162.86000061035156,159.58999633789062,160.77999877929688,5341300
2026-03-11,160.30999755859375,160.91000366210938,157.88999938964844,160.14999389648438,4359700
2026-03-12,158.8699951171875,161.5399932861328,158.69000244140625,158.86000061035156,6165600
2026-03-13,159.77999877929688,161.50999450683594,159.24000549316406,159.8800048828125,4676800
2026-03-16,161.36000061035156,161.5800018310547,157.5399932861328,157.72000122070312,4498700
2026-03-17,158.8300018310547,159.11000061035156,156.2899932861328,156.5,5460200
2026-03-18,155.25,156.1199951171875,153.2899932861328,153.5399932861328,5124400
2026-03-19,153.75,154.67999267578125,152.66000366210938,152.74000549316406,5555500
2026-03-20,152.4499969482422,153.41000366210938,149.33999633789062,150.0399932861328,14480700
2026-03-23,152.3000030517578,152.3000030517578,149.94000244140625,150.8800048828125,6783000
2026-03-24,150.4499969482422,152.5800018310547,150.1999969482422,150.58999633789062,5803700
2026-03-25,151.3000030517578,151.83999633789062,149.02999877929688,151.72999572753906,4978500
2026-03-26,151.92999267578125,153.14999389648438,150.6699981689453,150.8300018310547,5677100
2026-03-27,151.13999938964844,154.5399932861328,150.47000122070312,153.0399932861328,6663600
2026-03-30,153.82000732421875,158.38999938964844,153.3699951171875,156.82000732421875,10386800
2026-03-31,157.6699981689453,157.6699981689453,154.1699981689453,155.2899932861328,8033800
2026-04-01,153.5500030517578,155.14999389648438,153.25999450683594,154.64999389648438,5412600
2026-04-02,154.66000366210938,157.05999755859375,154.22000122070312,157.00999450683594,5410000
2026-04-06,156.41000366210938,156.86000061035156,155.39999389648438,156.72999572753906,3562500
2026-04-07,156.17999267578125,156.5399932861328,152.57000732421875,153.2100067138672,5151100
2026-04-08,151.8800048828125,154.82000732421875,151.75,154.8000030517578,6878500
2026-04-09,153.6999969482422,158.00999450683594,153.25,157.49000549316406,4339400
2026-04-10,157.16000366210938,157.7899932861328,156.3300018310547,157.05999755859375,4412700
2026-04-13,156.99000549316406,157.02999877929688,154.9499969482422,155.8800048828125,5827800
2026-04-14,154.50999450683594,156.6300048828125,154.2899932861328,155.72000122070312,5655800
2026-04-15,155.02000427246094,155.75999450683594,153.33999633789062,154.85000610351562,7684800
2026-04-16,155.5399932861328,159.7899932861328,154.25999450683594,158.3800048828125,10422100
2026-04-17,158.25999450683594,160.02999877929688,156.47000122070312,157.6699981689453,7799900
2026-04-20,158.74000549316406,158.83999633789062,155.83999633789062,156.99000549316406,5731000
2026-04-21,156.74000549316406,157.0399932861328,153.72999572753906,154.9199981689453,6357300
2026-04-22,155.0800018310547,157.22000122070312,153.5500030517578,153.7899932861328,5921300
2026-04-23,155.16000366210938,156.61000061035156,154.57000732421875,155.6999969482422,6077600
2026-04-24,155.92999267578125,156.27999877929688,154.66000366210938,155.44000244140625,5364900
2026-04-27,155.52999877929688,156.64999389648438,154.0,154.10000610351562,4077000
2026-04-28,156.8000030517578,158.11000061035156,155.32000732421875,156.2899932861328,5174300
2026-04-29,155.58999633789062,156.49000549316406,153.47999572753906,155.2899932861328,4047600
2026-04-30,155.97999572753906,159.0,155.27999877929688,158.49000549316406,7065100
2026-05-01,159.5500030517578,160.0,156.42999267578125,157.41000366210938,4447300
2026-05-04,155.89999389648438,156.72999572753906,153.6699981689453,154.58999633789062,5330800
2026-05-05,154.0500030517578,156.30999755859375,152.5399932861328,155.0399932861328,6200100
2026-05-06,155.8000030517578,156.92999267578125,154.8699951171875,155.9600067138672,5296600
2026-05-07,155.00999450683594,157.35000610351562,154.8800048828125,156.2899932861328,4464000
2026-05-08,156.75,157.3000030517578,154.3800048828125,154.6199951171875,4934400
2026-05-11,154.38999938964844,154.6999969482422,149.05999755859375,149.41000366210938,8373300
2026-05-12,150.5399932861328,152.72000122070312,148.36000061035156,151.85000610351562,6250700
2026-05-13,150.69000244140625,153.24000549316406,148.9600067138672,149.27000427246094,5524900
2026-05-14,149.5,149.99000549316406,148.14999389648438,148.6699981689453,5022200
2026-05-15,149.55999755859375,150.11000061035156,148.19000244140625,149.1199951171875,6230600
2026-05-18,149.99000549316406,150.1199951171875,147.47999572753906,149.05999755859375,8799400
2026-05-19,150.3000030517578,152.57000732421875,148.97000122070312,150.3699951171875,10093900
2026-05-20,149.57000732421875,150.64999389648438,148.38999938964844,149.2899932861328,7425800
2026-05-21,149.2899932861328,149.6699981689453,146.3800048828125,148.85000610351562,6123100
2026-05-22,149.41000366210938,150.83999633789062,148.5399932861328,150.57000732421875,7774400
