date,open,high,low,close,volume
2025-11-24,308.989990234375,310.3399963378906,304.0299987792969,304.8999938964844,3687300
2025-11-25,306.75,311.4599914550781,306.75,310.45001220703125,4189600
2025-11-26,311.57000732421875,312.8699951171875,309.7200012207031,312.3999938964844,2786600
2025-11-28,312.3699951171875,313.29998779296875,310.69000244140625,311.82000732421875,1850700
2025-12-01,309.4800109863281,309.5,303.3699951171875,303.57000732421875,3354100
2025-12-02,303.79998779296875,303.82000732421875,299.5899963378906,300.7200012207031,3947800
2025-12-03,302.3999938964844,308.75,302.05999755859375,307.7099914550781,4986900
2025-12-04,308.5299987792969,313.79998779296875,307.32000732421875,308.5400085449219,4632200
2025-12-05,308.6600036621094,312.04998779296875,308.20001220703125,311.2300109863281,3147200
2025-12-08,312.0,313.75,309.04998779296875,309.7900085449219,3575000
2025-12-09,310.69000244140625,312.70001220703125,308.4200134277344,310.7900085449219,2355100
2025-12-10,309.5,311.32000732421875,306.010009765625,310.5299987792969,4103900
2025-12-11,311.5,312.9800109863281,309.05999755859375,309.7099914550781,4844000
2025-12-12,310.5299987792969,317.7900085449219,310.3699951171875,316.7200012207031,3771900
2025-12-15,316.70001220703125,319.6600036621094,315.79998779296875,318.7300109863281,3814900
2025-12-16,319.1099853515625,320.5799865722656,314.30999755859375,314.5,2972300
2025-12-17,315.54998779296875,319.20001220703125,315.0,318.69000244140625,3328600
2025-12-18,319.3800048828125,321.7900085449219,318.3500061035156,319.6499938964844,3335200
2025-12-19,318.70001220703125,319.3299865722656,315.75,315.8399963378906,7128600
2025-12-22,315.0,318.2699890136719,314.4700012207031,316.2200012207031,2514600
2025-12-23,312.1000061035156,314.1199951171875,310.6300048828125,310.8399963378906,2922800
2025-12-24,310.67999267578125,313.3999938964844,310.2799987792969,313.3299865722656,1011500
2025-12-26,312.9800109863281,313.260009765625,309.8699951171875,310.67999267578125,1308900
2025-12-29,310.4599914550781,311.1000061035156,308.2200012207031,308.5299987792969,2148300
2025-12-30,307.0799865722656,308.6400146484375,306.7699890136719,308.0299987792969,1678300
2025-12-31,307.7799987792969,308.2099914550781,305.3500061035156,305.6300048828125,1903600
2026-01-02,305.2900085449219,305.54998779296875,300.2900085449219,303.260009765625,3124300
2026-01-05,301.25,302.3299865722656,299.6199951171875,299.8599853515625,4573300
2026-01-06,299.07000732421875,304.2200012207031,298.3299865722656,302.7699890136719,3769100
2026-01-07,305.3299865722656,307.0,303.30999755859375,304.1600036621094,4100200
2026-01-08,303.44000244140625,309.0,302.6300048828125,308.8800048828125,3268300
2026-01-09,309.0400085449219,309.5199890136719,304.6000061035156,307.32000732421875,2972000
2026-01-12,307.44000244140625,307.4800109863281,304.1700134277344,306.75,3206600
2026-01-13,305.2300109863281,309.6600036621094,305.20001220703125,309.44000244140625,2967900
2026-01-14,309.44000244140625,311.17999267578125,305.92999267578125,308.1300048828125,2949000
2026-01-15,308.92999267578125,308.92999267578125,303.79998779296875,308.6199951171875,3189200
2026-01-16,306.8900146484375,308.5299987792969,305.8399963378906,307.42999267578125,2590600
2026-01-20,306.44000244140625,306.54998779296875,302.45001220703125,302.8399963378906,3018000
2026-01-21,303.3399963378906,305.7099914550781,303.1400146484375,305.69000244140625,3630900
2026-01-22,306.1499938964844,307.6300048828125,304.95001220703125,306.0299987792969,2809400
2026-01-23,306.1000061035156,309.510009765625,305.3599853515625,309.25,2350200
2026-01-26,310.0,314.3599853515625,309.9700012207031,312.95001220703125,3385000
2026-01-27,312.32000732421875,314.55999755859375,311.0400085449219,314.1300048828125,2506600
2026-01-28,315.0,316.2799987792969,311.6099853515625,312.79998779296875,2184500
2026-01-29,312.9100036621094,317.3999938964844,312.260009765625,315.510009765625,3211300
2026-01-30,315.6600036621094,316.04998779296875,311.57000732421875,315.0,2983200
2026-02-02,319.0,319.5199890136719,315.2099914550781,318.5299987792969,3309800
2026-02-03,315.510009765625,322.8900146484375,315.510009765625,319.4800109863281,4043400
2026-02-04,321.1099853515625,326.95001220703125,319.70001220703125,323.69000244140625,4805900
2026-02-05,325.0799865722656,328.05999755859375,322.95001220703125,323.4800109863281,3936800
2026-02-06,322.8999938964844,327.5400085449219,321.239990234375,327.1600036621094,2831900
2026-02-09,325.94000244140625,327.32000732421875,323.17999267578125,325.6000061035156,2673900
2026-02-10,325.42999267578125,328.0,323.510009765625,325.9700012207031,3502900
2026-02-11,323.5799865722656,325.20001220703125,320.80999755859375,323.2099914550781,4553200
2026-02-12,329.8299865722656,333.3800048828125,320.1499938964844,332.0799865722656,6499700
2026-02-13,332.5,335.6700134277344,326.5299987792969,327.5799865722656,3587900
2026-02-17,330.0,332.0799865722656,325.0,327.6199951171875,3367200
2026-02-18,327.2699890136719,328.79998779296875,323.8299865722656,327.8900146484375,3661800
2026-02-19,328.4599914550781,333.0,326.95001220703125,327.1099853515625,4032300
2026-02-20,328.0299987792969,330.2799987792969,325.9599914550781,329.2300109863281,3862700
2026-02-23,330.42999267578125,335.5799865722656,330.25,334.55999755859375,3806200
2026-02-24,335.30999755859375,336.0,332.3299865722656,333.04998779296875,2756900
2026-02-25,332.0,334.1499938964844,330.0,333.010009765625,2812500
2026-02-26,334.8699951171875,336.94000244140625,333.1099853515625,334.5299987792969,2425900
2026-02-27,335.57000732421875,341.3500061035156,335.57000732421875,341.05999755859375,4269100
2026-03-02,341.05999755859375,341.75,334.4100036621094,334.82000732421875,4555400
2026-03-03,330.0899963378906,332.1700134277344,327.70001220703125,332.1700134277344,2901100
2026-03-04,331.739990234375,332.8299865722656,329.6099853515625,331.739990234375,2455900
2026-03-05,329.79998779296875,330.80999755859375,324.1199951171875,327.45001220703125,4321400
